concert,연주회,I am so excited to attend the concert tomorrow night at the outdoor amphitheater.,I am so excited to attend the ____ tomorrow night at the outdoor amphitheater.,내일 밤 야외 원형극장에서 열리는 콘서트에 참석하게 되어 너무 기대됩니다.
sugar,설탕,I added a spoonful of sugar to my coffee this morning.,I added a spoonful of ____ to my coffee this morning.,오늘 아침 커피에 설탕 한 스푼을 넣었어요.
down,아래로,The rain beat down on the roof all night.,The rain beat ____ on the roof all night.,비가 밤새도록 지붕을 두들겼다.
pants,바지,I just bought a new pair of pants yesterday.,I just bought a new pair of ____ yesterday.,어제 새 바지를 샀어요.
lesson,학과,I learned an important lesson about the value of communication in relationships.,I learned an important ____ about the value of communication in relationships.,저는 관계에서 의사소통의 가치에 대해 중요한 교훈을 얻었습니다.
mouse,생쥐,The cat caught the mouse in the kitchen.,The cat caught the ____ in the kitchen.,고양이가 주방에서 쥐를 잡았습니다.
zebra,얼룩말,The zookeeper fed the zebra some fresh hay.,The zookeeper fed the ____ some fresh hay.,동물원 관리인은 얼룩말에게 신선한 건초를 먹였습니다.
ring,고리,I heard the phone ring just as I was about to leave.,I heard the phone ____ just as I was about to leave.,제가 떠나려고 할 때 전화벨이 울리는 소리가 들렸습니다.
sing,노래하다,I love to sing in the shower.,I love to ____ in the shower.,저는 샤워하면서 노래 부르는 걸 좋아해요.
thirst,갈증,"After running for an hour under the scorching sun, my thirst was unquenchable.","After running for an hour under the scorching sun, my ____ was unquenchable.",뜨거운 햇볕 아래서 한 시간 동안 달리고 나니 갈증이 해소될 줄 몰랐습니다.
side,쪽,She stood by his side through thick and thin.,She stood by his ____ through thick and thin.,그녀는 좋을 때나 나쁠 때나 항상 그의 편에 섰습니다.
cut,베다,The chef used a knife to cut the vegetables for the stir-fry.,The chef used a knife to ____ the vegetables for the stir-fry.,요리사는 볶음 요리에 들어갈 야채를 자르기 위해 칼을 이용했다.
fresh,새로운,I love waking up early and taking a walk to breathe in the fresh morning air.,I love waking up early and taking a walk to breathe in the ____ morning air.,저는 이른 아침에 일어나서 산책을 하며 신선한 아침 공기를 마시는 것을 좋아해요.
money,금전 돈,I need to save up more money before I can go on vacation.,I need to save up more ____ before I can go on vacation.,휴가를 가기 전에 돈을 더 모아야 해요.
bell,종,I heard the bell ringing in the distance.,I heard the ____ ringing in the distance.,나는 멀리서 종소리가 울리는 것을 들었습니다.
earth,지구,The earth is a beautiful planet filled with diverse landscapes.,The ____ is a beautiful planet filled with diverse landscapes.,지구는 다양한 풍경으로 가득한 아름다운 행성입니다.
cookie,쿠키,I baked delicious chocolate chip cookie for the party tonight.,I baked delicious chocolate chip ____ for the party tonight.,오늘 밤 파티를 위해 맛있는 초콜릿칩 쿠키를 구웠어요.
of,출신의,The color of the sky was a beautiful shade.,Sentence with blank: The color ____ the sky was a beautiful shade.,하늘의 색깔은 아름다운 그늘이었습니다.
with,함께,He went to the store with his sister.,He went to the store ____ his sister.,그는 여동생과 함께 가게에 갔다.
or,혹은,Should we go to the beach or the mountains for our vacation?,Should we go to the beach ____ the mountains for our vacation?,"휴가에 해변으로 갈까, 아니면 산으로 갈까?"
who,누구,The student who won the spelling bee studied diligently every day.,The student ____ won the spelling bee studied diligently every day.,철자 경연대회에서 우승한 학생은 매일 부지런히 공부했습니다.
milk,우유,I like to drink a glass of milk with my cookies.,I like to drink a glass of ____ with my cookies.,저는 쿠키와 함께 우유 한 잔을 마시는 것을 좋아합니다.
far,멀리,The beach is far away from our hotel.,The beach is ____ away from our hotel.,해변은 우리 호텔에서 멀리 떨어져 있어요.
mind,마음,I can't make up my mind about what to eat for dinner tonight.,I can't make up my ____ about what to eat for dinner tonight.,오늘 저녁 뭐 먹을지 정할 수가 없어요.
cat,고양이,The cat chased a mouse around the house. ,The ____ chased a mouse around the house.,고양이가 집 안에서 쥐를 쫓았습니다.
stop,멈추다,Please stop talking so loud.,Please ____ talking so loud.,너무 큰 소리로 말하지 마세요.
up,위로,I stayed up late watching movies last night.,I stayed ____ late watching movies last night.,나는 어제 밤 늦게까지 영화를 보며 지냈다.
academy,학술원,I am currently studying at the prestigious academy of fine arts. ,I am currently studying at the prestigious ____ of fine arts.,저는 현재 명문 미술대학인 학술원에서 공부하고 있습니다.
smile,미소짓다 미소,She gave me a warm smile when I told her the good news.,She gave me a warm ____ when I told her the good news.,"내가 그녀에게 좋은 소식을 전했을 때, 그녀는 따뜻한 미소를 지었다."
season,계절,My favorite season is autumn because of the beautiful colors and cozy weather.,My favorite ____ is autumn because of the beautiful colors and cozy weather.,제가 가장 좋아하는 계절은 가을이에요. 아름다운 색감과 편안한 날씨 때문이죠.
name,이름,My favorite band's name is The Beatles.,My favorite band's ____ is The Beatles.,제가 가장 좋아하는 밴드의 이름은 비틀즈예요.
clock,시계,I glanced at the clock and realized I was running late. ,I glanced at the ____ and realized I was running late.,나는 시계를 흘깃 보고 늦어지고 있다는 것을 깨달았다.
water,물,I need to drink more water to stay hydrated.,I need to drink more ____ to stay hydrated.,수분을 유지하려면 더 많은 물을 마셔야 해요.
egg,알,I am craving a scrambled egg for breakfast.,I am craving a scrambled ____ for breakfast.,나는 아침으로 스크램블 에그를 먹고 싶어.
invite,초대하다,I would like to invite you to my birthday party next week.,I would like to ____ you to my birthday party next week.,다음 주에 열리는 제 생일 파티에 여러분을 초대하고 싶습니다.
out,밖으로,I can't believe how cold it is out today.,I can't believe how cold it is ____ today.,오늘은 믿을 수 없을 정도로 날씨가 춥네요.
big,큰,She sure has a big heart.,She sure has a ____ heart.,그녀는 정말 마음이 넓은 사람이네요.
pear,서양배,I love to eat a juicy ripe pear.,I love to eat a juicy ripe ____.,저는 익은 육즙이 많은 배를 먹는 것을 좋아해요.
put,"놓다, 두다",She put the book on the shelf.,She placed the book on the shelf.,She ____ the book on the shelf.,She placed the book on the shelf.,그녀는 책을 선반에 놓았다.
lie,거짓말,He told me a lie about where he had been last night.,He told me a ____ about where he had been last night.,그는 어젯밤에 어디에 있었는지에 대해 거짓말을 했습니다.